album_id,album_title,track_number,track_title,genre_tags,caption
2,Memories,8,Your Pretty Smile,contemporary; Indigenous; original song,"Your Pretty Smile. Style: contemporary, Indigenous, original song"
2,Memories,9,Ten Years,contemporary; Indigenous; original song,"Ten Years. Style: contemporary, Indigenous, original song"
2,Memories,10,Thank-You,contemporary; Indigenous; original song,"Thank-You. Style: contemporary, Indigenous, original song"
2,Memories,11,As Long as You Come Home Tonite,contemporary; Indigenous; original song,"As Long as You Come Home Tonite. Style: contemporary, Indigenous, original song"
2,Memories,12,"Please, Don't Be Mad at Me",contemporary; Indigenous; original song,"Please, Don't Be Mad at Me. Style: contemporary, Indigenous, original song"
2,Memories,13,Wedding Song (My Promise),contemporary; Indigenous; original song,"Wedding Song (My Promise). Style: contemporary, Indigenous, original song"
2,Memories,14,Good Bye!,contemporary; Indigenous; original song,"Good Bye!. Style: contemporary, Indigenous, original song"
2,Memories,15,Forever,contemporary; Indigenous; original song,"Forever. Style: contemporary, Indigenous, original song"
3,Traditional Lakota Songs,1,Lakota National Anthem (Flag Song) and Veterans' Song,traditional; Lakota; flag song; veterans,"Lakota National Anthem (Flag Song) and Veterans' Song. Style: traditional, Lakota, flag song, veterans. Flag Song — The President's Flag will stand forever. Veterans' Song — often follows the Flag Song at the raising or lowering of the U.S. flag."
3,Traditional Lakota Songs,2,Little Big Horn Battle Song,traditional; Lakota; battle song; historical,"Little Big Horn Battle Song. Style: traditional, Lakota, battle song, historical. A song made for the Battle of Little Big Horn (1876)."
3,Traditional Lakota Songs,3,Our Friends Came With The Soldiers,traditional; Lakota; historical; conflict,"Our Friends Came With The Soldiers. Style: traditional, Lakota, historical, conflict. A song made for the Eastern Lakota who scouted for the U.S. cavalry against the Western Lakota."
3,Traditional Lakota Songs,4,Sneak-Up Dance,traditional; Lakota; dance; warrior,"Sneak-Up Dance. Style: traditional, Lakota, dance, warrior. A Sneak-Up Dance for a warrior who was wounded in battle. One of the warriors was knocked off his horse and the others picked him up and are carrying him back."
3,Traditional Lakota Songs,5,World War I Veterans' Song,traditional; Lakota; veterans; WWI,"World War I Veterans' Song. Style: traditional, Lakota, veterans, WWI. This song exemplifies the patriotism of the Lakota."
3,Traditional Lakota Songs,6,The Jealous Woman,traditional; Lakota; social; humor,"The Jealous Woman. Style: traditional, Lakota, social, humor. One of the Porcupine Singers' standard songs."
3,Traditional Lakota Songs,7,The Bark of the Dog,traditional; Lakota; raiding; ceremonial,"The Bark of the Dog. Style: traditional, Lakota, raiding, ceremonial. The leader of a successful raiding party barks like a dog four times in advance of the returning party."
3,Traditional Lakota Songs,8,Song of the Fallen Warrior,traditional; Lakota; memorial; warrior,"Song of the Fallen Warrior. Style: traditional, Lakota, memorial, warrior. A memorial song made for One Feather."
3,Traditional Lakota Songs,9,Birthday Song,traditional; Lakota; birthday; ceremonial,"Birthday Song. Style: traditional, Lakota, birthday, ceremonial. A song of encouragement sung for a person having a birthday. The Lakota name of the person being honored is inserted at the beginning of the song."
3,Traditional Lakota Songs,10,Song of the Dancers,traditional; Lakota; dance; identity,"Song of the Dancers. Style: traditional, Lakota, dance, identity. This song expresses the sentiment of many dancers caught between their desire to follow the traditional ways and the pressures of the modern world."
4,Dvořák and America,1,Hiawatha Melodrama (after Dvořák): I. Prologue,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama (after Dvořák): I. Prologue. Style: orchestral, melodrama, American, Longfellow, Dvořák. World Premiere Recording. Version III ('final') of the Hiawatha Melodrama, premiered by PostClassical Ensemble, Angel Gil-Ordonez, and Kevin Deas at Clarice Smith Performing Arts Center, 1 March 2013. Text from Longfellow's The Song of Hiawatha (Prologue and Chapters 10, 11, 12, 17, 20, 22)."
4,Dvořák and America,2,Hiawatha Melodrama: II. Hiawatha's Wooing,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama: II. Hiawatha's Wooing. Style: orchestral, melodrama, American, Longfellow, Dvořák. Music adapts the Larghetto from Dvorak's Violin Sonatina (composed in Iowa, 1893) and portions of the Largo from the New World Symphony. The Larghetto (as Beckerman documented) is a portrait of Minnehaha ('Laughing Water'), Hiawatha's wife - Dvorak alternates major/minor modes to depict her moods."
4,Dvořák and America,3,Hiawatha Melodrama: III. Hiawatha's Wedding Feast,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama: III. Hiawatha's Wedding Feast. Style: orchestral, melodrama, American, Longfellow, Dvořák. Music extracted from the Scherzo of the New World Symphony, which Dvorak testified begins with stomping, whirling music inspired by the Dance of Pau-Puk-Keewis at Hiawatha's wedding. The alignments with the song of Chibiabos and the tale told by Iagoo are Beckerman's scholarship."
4,Dvořák and America,4,Hiawatha Melodrama: IV. The Death of Minnehaha,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama: IV. The Death of Minnehaha. Style: orchestral, melodrama, American, Longfellow, Dvořák. Music begins with a C-sharp minor passage from American Suite movement III in Dvorak's 'Indian' style, continuing with a C-sharp minor passage from the New World Symphony Largo. Czech writer Katerina Emingerova singled out the forest funeral as a key source passage for the Largo."
4,Dvořák and America,5,Hiawatha Melodrama: V. The Hunting of Pau-Puk-Keewis,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama: V. The Hunting of Pau-Puk-Keewis. Style: orchestral, melodrama, American, Longfellow, Dvořák. Music extracted from the New World Symphony finale (a Beckerman alignment). Certain Longfellow lines are here sung. Beckerman: 'As soon as Dvorak returned to Bohemia in 1895, he composed tone poems based on ballads of K.J. Erben, setting down the poem, line by line, beneath the music.'"
4,Dvořák and America,6,Hiawatha Melodrama: VI. Epilogue — Hiawatha's Departure,orchestral; melodrama; American; Longfellow; Dvořák,"Hiawatha Melodrama: VI. Epilogue — Hiawatha's Departure. Style: orchestral, melodrama, American, Longfellow, Dvořák. Music recalls the American Suite theme from Part Three and passages from the New World Symphony. Horowitz: the singular ending - dirge, apotheosis, diminuendo - can only be programmatic."
4,Dvořák and America,7,Goin' Home (after Dvořák Symphony No. 9 'From the New World': II. Largo),orchestral; song; American; Dvořák; spirituals,"Goin' Home (after Dvořák Symphony No. 9 'From the New World': II. Largo). Style: orchestral, song, American, Dvořák, spirituals. Text by William Arms Fisher (1861-1948), a student of Dvorak at the National Conservatory, who adapted the famous Largo melody in 1922. The song became associated in the U.S."
4,Dvořák and America,8,Violin Sonatina in G major Op. 100 B. 183: II. Larghetto (1893),chamber; violin; piano; Czech; American period,"Violin Sonatina in G major Op. 100 B. 183: II. Larghetto (1893). Style: chamber, violin, piano, Czech, American period. Previously released on Naxos 8.554413 (c) 2001. Composed in Spillville, Iowa, 1893. Popularized by Fritz Kreisler as the Indian Lament; Beckerman documented it as a portrait of Minnehaha. Zhou Qian plays a 1757 J.B. Guadagnini, generously loaned by Mr. and Mrs. Rin Kei Mei."
4,Dvořák and America,9,Eight Humoresques Op. 101 B. 187: No. 4. Poco andante in F major (1894),piano; Czech; Humoresque,"Eight Humoresques Op. 101 B. 187: No. 4. Poco andante in F major (1894). Style: piano, Czech, Humoresque. Composed in Prague between Dvorak's stints in Manhattan; American and Bohemian styles juxtaposed. Fourth Humoresque opens with what sounds like a foreshadowing of Gershwin's Porgy and Bess (composed four decades later)."
4,Dvořák and America,10,Eight Humoresques Op. 101 B. 187: No. 7. Poco lento e grazioso in G flat major (1894),piano; Czech; Humoresque,"Eight Humoresques Op. 101 B. 187: No. 7. Poco lento e grazioso in G flat major (1894). Style: piano, Czech, Humoresque. The Seventh Humoresque hums a dance tune so familiar in the U.S. that many Americans assume an American composed it. Dvorak's American and Bohemian styles are interwoven throughout the Humoresques."
4,Dvořák and America,11,Suite in A major Op. 98 B. 184 'American': I. Moderato (1894–95),piano; Czech; American period; suite,"Suite in A major Op. 98 B. 184 'American': I. Moderato (1894–95). Style: piano, Czech, American period, suite. Begun in New York just after the New World Symphony premiere; scored for solo piano then orchestrated 1895. In Spillville, Iowa, Dvorak listened to interracial Kickapoo Medicine Show musicians intermingling Native American dances with banjo and guitar."
4,Dvořák and America,12,Suite in A major Op. 98 B. 184 'American': II. Molto vivace,piano; Czech; American period; suite,"Suite in A major Op. 98 B. 184 'American': II. Molto vivace. Style: piano, Czech, American period, suite. Movement II (Molto vivace). The American Suite's defining quality is simplicity - serene speech, shunning compositional virtuosity."
4,Dvořák and America,13,Suite in A major Op. 98 B. 184 'American': III. Allegretto,piano; Czech; American period; suite,"Suite in A major Op. 98 B. 184 'American': III. Allegretto. Style: piano, Czech, American period, suite. Movement III (Allegretto). A jaunty dance not far removed from the world of stride piano. The elegiac Indianist refrain from this movement (C-sharp minor) is extracted for the Hiawatha Melodrama's Part Three (The Death of Minnehaha)."
4,Dvořák and America,14,Suite in A major Op. 98 B. 184 'American': IV. Andante,piano; Czech; American period; suite,"Suite in A major Op. 98 B. 184 'American': IV. Andante. Style: piano, Czech, American period, suite. Movement IV (Andante). Evokes the vacant Iowa landscape Dvorak found 'sometimes very sad, sad to despair.' Prairie vacancy mates with cakewalk in the American Suite."
4,Dvořák and America,15,Suite in A major Op. 98 B. 184 'American': V. Allegro,piano; Czech; American period; suite,"Suite in A major Op. 98 B. 184 'American': V. Allegro. Style: piano, Czech, American period, suite. Movement V (Allegro). An A major 'Indian' tune turns into an A major minstrel song - fusing the Indianist and African-American musical traditions Dvorak encountered during his American residency."
4,Dvořák and America,16,Navajo War Dance No. 2 Op. 29 (1904),piano; American; Indianist; Navajo,"Navajo War Dance No. 2 Op. 29 (1904). Style: piano, American, Indianist, Navajo. Navajo War Dance No. 2 (1904), dedicated to John Kirkpatrick (later to champion Ives' Concord Sonata). With dissonance and rhythmic bite (remarkably progressive for 1904), it suggests a New World Bartok."
4,Dvořák and America,17,Mesa and Plain Op. 20 No. 2: Pawnee Horses (1905),piano; American; Indianist; Pawnee; Omaha,"Mesa and Plain Op. 20 No. 2: Pawnee Horses (1905). Style: piano, American, Indianist, Pawnee, Omaha. Based on an Omaha song Farwell considered so rhythmically complex it could not be performed by 'any known singer except an Indian.' Piano version (Op. 20), barely a minute long."
4,Dvořák and America,18,Pawnee Horses (version for chorus) Op. 102 (1937),choral; American; Indianist; Pawnee; a cappella,"Pawnee Horses (version for chorus) Op. 102 (1937). Style: choral, American, Indianist, Pawnee, a cappella. World Premiere Recording. In 1937, Farwell created this eight-part a cappella choral version for John Finlay Williamson's Westminster Choir - described as 'an American choral masterpiece.' Based on the same Omaha source as Op. 20 No. 2, expanded into a full choral work."
